티커,종목명,시장,RS,clenow,fip,신규,시총,r3,r6,r9,r12,close,거래대금20
322000,HD현대에너지솔루션,KOSPI,93,-0.3468949374003909,-0.11111111111111116,False,1498560000000,-11.096345514950167,9.58230958230959,132.69565217391306,163.38582677165357,133800,40454895850.0
452260,한화갤러리아,KOSPI,93,-0.3573899767046092,0.03333333333333327,False,519543754800,-2.3679417122040025,-0.7407407407407418,146.5501379944802,131.83391003460207,2680,3631900692.2
037460,삼지전자,KOSDAQ,93,-0.3632296676564559,-0.0222222222222222,False,505058255900,-25.511432009626954,36.34361233480177,119.03750884642604,167.5021607605877,30950,2172481285.0
085620,미래에셋생명,KOSPI,93,0.06692588413469437,0.07777777777777783,False,2681971200000,-29.89399293286219,50.3030303030303,122.42152466367715,150.1891551071879,19840,9582751458.5
192820,코스맥스,KOSPI,93,1.2585917984930928,-0.09999999999999998,False,3070042184500,60.43890865954924,52.652370203160274,65.34229828850854,23.234624145785876,270500,43919186825.0
108490,로보티즈,KOSDAQ,93,-0.11380326917190767,-0.09999999999999998,False,4744783558000,-1.9696969696969657,25.145067698259194,6.942148760330569,232.19691524100963,323500,114237092725.0
076610,해성옵틱스,KOSDAQ,93,-0.29942833800806107,-0.30000000000000004,False,73985988820,-1.3428120063191162,19.065776930409918,119.50790861159928,120.67137809187281,1249,2063641764.8
085910,네오티스,KOSDAQ,92,-0.6721852981361652,-0.09999999999999998,False,182643390320,-54.265975820379964,-24.858115777525537,63.65883807169346,322.3285486443381,13240,2434872416.5
094840,슈프리마에이치큐,KOSDAQ,92,0.45812878070422686,0.0222222222222222,False,119536468710,11.121239744758427,66.30286493860847,84.13897280966766,77.95620437956204,12190,309428304.5
028050,삼성E&A,KOSPI,92,-0.05824552070649366,-0.05555555555555558,False,9996000000000,7.14285714285714,55.487804878048784,100.78740157480314,79.5774647887324,51000,73613540397.5
007340,DN오토모티브,KOSPI,92,0.0004996708146458079,-0.05555555555555558,False,2738308482000,16.129032258064523,69.56521739130434,68.64864864864866,79.65451055662187,46800,14718866747.5
058610,에스피지,KOSDAQ,92,-0.08126623913229726,-0.16666666666666663,False,2146768448000,2.2175290390707536,-25.709900230237913,29.066666666666663,240.8450704225352,96800,43144229105.0
031330,에스에이엠티,KOSDAQ,92,-0.3360328738160316,0.033333333333333326,False,811959944040,-45.721925133689844,63.21608040201006,110.63553826199741,164.92659053833606,8120,4745299948.5
109070,주성코퍼레이션,KOSPI,92,-0.0072729066882644845,0.011111111111111127,False,81855856500,3.3333333333333437,74.15730337078652,85.85131894484412,74.74633596392333,1550,225055652.35
088350,한화생명,KOSPI,92,0.007085027671473352,0.011111111111111127,False,5202494700000,20.52313883299799,25.57651991614256,92.914653784219,78.53949329359165,5990,34060721290.5
036800,나이스정보통신,KOSDAQ,92,0.510743095297886,0.05555555555555558,False,353990000000,33.90705679862307,47.34848484848484,53.75494071146245,66.95278969957081,7780,1679086547.0
049430,코메론,KOSDAQ,92,0.2865974933113124,-0.011111111111111072,False,205389600000,24.725274725274726,20.105820105820115,66.91176470588236,98.42657342657341,22700,622872550.5
093370,후성,KOSPI,92,-0.030277056840543517,-0.03333333333333327,False,1427568442300,-29.984218832193587,90.96126255380202,65.3416149068323,137.67857142857144,13310,37206061120.0
019210,와이지-원,KOSDAQ,92,-0.014306184898217751,-0.1333333333333333,False,491701084160,-17.011927181418706,-4.133430021754892,130.71553228621292,140.36363636363637,13220,11889869552.5
008930,한미사이언스,KOSPI,92,1.5492078520893746,0.1555555555555555,False,3440094965000,67.109634551495,35.39703903095559,32.19448094612352,28.15286624203821,50300,30985561622.5
012210,삼미금속,KOSDAQ,92,-0.2025707951808502,-0.05555555555555558,False,283303905910,27.754677754677747,-28.62950058072009,1.0690789473684292,199.02676399026765,12290,37262469272.5
089970,브이엠,KOSDAQ,91,-0.007333591079197037,-0.06666666666666665,False,1280797117250,-49.84536082474227,25.710594315245473,68.04835924006909,230.05427408412484,48650,30558140362.5
095340,ISC,KOSDAQ,91,-0.29458544674376813,-0.011111111111111127,False,4031680431600,-17.304347826086953,2.5889967637540368,78.7593984962406,177.25947521865888,190200,31647118735.0
340810,시선AI,KOSDAQ,91,0.2928878983796242,-0.04444444444444445,False,57681108070,52.865064695009245,58.126195028680684,44.58041958041959,14.861111111111104,4135,741240413.25
244920,에이플러스에셋,KOSPI,91,0.9912507502483605,0.18888888888888888,False,311307932610,36.20178041543027,9.285714285714274,55.41760722347631,86.08108108108108,13770,450466608.5
377450,리파인,KOSDAQ,91,2.0173773101790413,-0.011111111111111127,False,293743500000,77.48691099476439,37.469586374695865,25.369822485207095,-0.4112808460634554,16950,4866142630.0
092870,엑시콘,KOSDAQ,91,-0.12315997549390208,-0.12222222222222223,False,385651051350,-4.058441558441562,-0.6722689075630228,98.0563002680965,125.05712109672507,29550,9911481952.5
010060,OCI홀딩스,KOSPI,91,-0.15281056477870117,-0.09999999999999998,False,4079445692000,-27.16666666666666,31.62650602409638,111.11111111111111,125.49019607843137,218500,63749598275.0
019010,베뉴지,KOSDAQ,91,-0.2158594837638647,-0.0222222222222222,False,240036000000,3.105590062111796,11.659192825112097,91.17082533589252,102.4390243902439,4980,5026683123.5
013700,까뮤이앤씨,KOSPI,91,1.029234996159716,-0.0222222222222222,False,100441145230,46.94055944055944,30.310077519379842,40.083333333333336,46.428571428571416,1681,1271773156.0
079940,가비아,KOSDAQ,91,2.0294950742406836,0.05555555555555558,False,577760446200,36.8839427662957,52.65957446808511,36.66666666666667,46.67802385008517,43050,3392512400.0
122350,삼기,KOSDAQ,91,0.6309406420241894,-0.03333333333333327,False,65752119020,68.96551724137932,12.459016393442624,34.40438871473355,21.458923512747873,1715,2696658367.0
073240,금호타이어,KOSPI,91,2.516663097876536,-0.09999999999999998,False,2117108315190,53.86221294363256,28.621291448516573,21.217105263157897,47.99196787148594,7370,25124682847.0
036710,심텍홀딩스,KOSDAQ,91,-0.15955882390231518,-0.04444444444444445,False,212631709850,-15.970772442588721,65.63786008230453,38.55421686746987,132.6589595375723,4025,886258566.25
170920,엘티씨,KOSDAQ,91,-0.18256317459639534,-0.0444444444444444,False,354954633600,-40.63604240282685,53.075170842824605,99.88102320047591,133.17140874392783,33600,8411198220.0
041520,이엘씨,KOSDAQ,91,0.0007773131690796675,0.011111111111111127,False,144802112400,23.49272349272349,53.6869340232859,58.823529411764696,45.05494505494505,11880,370423084.0
091580,상신이디피,KOSDAQ,90,-0.05459013480276279,-0.18888888888888888,False,277226955200,14.411441144114413,31.645569620253156,36.8421052631579,105.94059405940595,20800,6554488560.0
212560,네오오토,KOSDAQ,90,-0.005020709919924859,-0.03333333333333327,False,149563599320,6.124401913875599,36.91358024691358,60.72463768115941,91.20689655172414,11090,6643953974.0
029460,케이씨,KOSPI,90,0.00015969610085522423,0.0,False,439719346500,19.282511210762323,26.066350710900466,62.52545824847251,71.61290322580645,39900,1287470650.0
044820,코스맥스비티아이,KOSPI,90,0.6704658252080044,-0.055555555555555525,False,217048614600,27.25225225225225,59.491884262526476,62.473040977713865,22.096164235548343,22600,994016940.0
024850,HLB이노베이션,KOSDAQ,90,-0.14676001269044198,0.011111111111111127,False,530919255680,15.469613259668513,0.8748114630467541,67.95580110497237,95.89923842999414,16720,3044990717.0
032830,삼성생명,KOSPI,90,-0.08766714428667277,0.0222222222222222,False,61500000000000,-20.23346303501945,42.361111111111114,97.7491961414791,92.3076923076923,307500,134763155175.0
083450,GST,KOSDAQ,90,-0.3600788173374481,-0.011111111111111127,False,840408000000,-29.738058551617875,53.794266441821236,80.95238095238095,112.09302325581393,45600,5377095225.0
012200,계양전기,KOSPI,90,-0.7396556262928297,-0.16666666666666663,False,97321613675,-38.22360463106964,-48.97959183673469,150.70126227208976,161.13951789627464,3575,1148274352.0
048770,TPC로보틱스,KOSDAQ,90,-0.35239012682669046,-0.16666666666666663,False,65617602380,-2.564102564102566,35.49432739059968,49.55277280858677,104.40097799511001,4180,5213452179.0
281820,케이씨텍,KOSPI,90,-0.0031797892043803123,-0.07777777777777778,False,1344329081900,-22.043628013777273,51.5625,85.01362397820162,91.80790960451976,67900,11853044800.0
011560,세보엠이씨,KOSDAQ,90,0.0012569126920325658,-0.06666666666666671,False,242541171600,0.6276150627614996,33.68538076709282,58.745874587458744,89.22108575924467,24050,1631440157.5
036170,에이치엠넥스,KOSDAQ,90,-0.8052325500393417,-0.24444444444444452,False,143595564840,-46.08294930875576,-57.299270072992705,171.77700348432055,160.57906458797328,2340,584012667.75
000370,한화손해보험,KOSPI,90,0.05282792955529134,-0.011111111111111127,False,982941664300,29.538461538461537,21.67630057803469,56.79702048417133,43.19727891156462,8420,8186194133.0
204610,티쓰리,KOSDAQ,90,0.1472900446410739,-0.1333333333333333,False,174980330800,23.62204724409449,20.30651340996168,67.64548852108916,44.03669724770643,3140,430983534.25
014910,성문전자,KOSPI,90,-0.18278535528188578,-0.0222222222222222,False,45353808275,-1.1904761904761862,20.22016222479721,83.30388692579504,75.10548523206751,2075,748041049.35
144960,뉴파워프라즈마,KOSDAQ,89,0.04019244170813545,-0.1555555555555555,False,384932017440,-12.338308457711445,56.205673758865245,78.159757330637,66.22641509433961,8810,9590491918.0
396300,HT로보틱스,KOSDAQ,89,-0.06463486830352094,-0.14444444444444443,False,126487362500,6.703910614525133,25.492772667542706,78.17164179104476,56.55737704918033,4775,11690761153.5
012630,HDC,KOSPI,89,-0.0006348501567934718,-0.14444444444444438,False,1699651962450,34.51536643026005,16.359918200409005,52.87479849543257,33.255269320843084,28450,2094946877.5
